Among	PRP	among
it	PNP	it
was	VBD	be
on	PRP	on
a	AT0	a
visit	NN1	visit
to	PRP	to
this	DT0	this
uncle	NN1	uncle
that	CJT	that
the	AT0	the
confectioners	NN2	confectioner
'	POS	'
shops	NN2	shop
in	PRP	in
that	DT0	that
brilliant	AJ0	brilliant
town	NN1	town
had	VHD	have
,	PUN	,
on	PRP	on
a	AT0	a
single	AJ0	single
day	NN1	day
,	PUN	,
fired	VVD	fire|fired
his	DPS	he
tender	AJ0	tender
imagination	NN1	imagination
.	SENT	.
He	PNP	he
carried	VVD	carry
home	AV0	home
the	AT0	the
pleasing	AJ0	pleasing|please
illusion	NN1	illusion
that	CJT	that
a	AT0	a
confectioner	NN1	confectioner
must	VM0	must
be	VBI	be
at	PRP	at
once	AV0	once
the	AT0	the
happiest	AJS	happy
and	CJC	and
the	AT0	the
foremost	AJS	foremost
of	PRF	of
men	NN2	man
,	PUN	,
since	CJS	since
the	AT0	the
things	NN2	thing
he	PNP	he
made	VVD	make
were	VBD	be
not	XX0	not
only	AV0	only
the	AT0	the
most	AV0	most
beautiful	AJ0	beautiful
to	TO0	to
behold	VVI	behold
,	PUN	,
but	CJC	but
the	AT0	the
very	AV0	very
best	AJS	good
eating	NN1	eating|eat
,	PUN	,
and	CJC	and
such	DT0	such
as	CJS	as
the	AT0	the
Lord	NP0	lord
Mayor	NN1	mayor
must	VM0	must
always	AV0	always
order	VVI	order
largely	AV0	largely
for	PRP	for
his	DPS	he
private	AJ0	private
recreation	NN1	recreation
;	PUN	;
so	AV0	so
that	CJT	that
when	CJS	when
his	DPS	he
father	NN1	father
declared	VVD	declare|declared
he	PNP	he
must	VM0	must
be	VBI	be
put	VVN	put
to	PRP	to
a	AT0	a
trade	NN1	trade
,	PUN	,
David	NP0	david
chose	VVD	choose
his	DPS	he
line	NN1	line
without	PRP	without
a	AT0	a
moment	NN1	moment
's	POS	's
hesitation	NN1	hesitation
;	PUN	;
and	CJC	and
,	PUN	,
with	PRP	with
a	AT0	a
rashness	NN1	rashness
inspired	VVN	inspire|inspired
by	PRP	by
a	AT0	a
sweet	AJ0	sweet
tooth	NN1	tooth
,	PUN	,
wedded	VVD	wed|wedded
himself	PNX	himself
irrevocably	AV0	irrevocably
to	PRP	to
confectionery	NN1	confectionery
.	SENT	.
Soon	AV0	soon
,	PUN	,
however	AV0	however
,	PUN	,
the	AT0	the
tooth	NN1	tooth
lost	VVD	lose|lost
its	DPS	it
relish	NN1	relish
and	CJC	and
fell	VVD	fall|fell
into	PRP	into
blank	AJ0	blank
indifference	NN1	indifference
;	PUN	;
and	CJC	and
all	DT0	all
the	AT0	the
while	NN1	while
,	PUN	,
his	DPS	he
mind	NN1	mind
expanded	VVD	expand|expanded
,	PUN	,
his	DPS	he
ambition	NN1	ambition
took	VVD	take
new	AJ0	new
shapes	NN2	shape
,	PUN	,
which	DTQ	which
could	VM0	could
hardly	AV0	hardly
be	VBI	be
satisfied	VVN	satisfy|satisfied
within	PRP	within
the	AT0	the
sphere	NN1	sphere
his	DPS	he
youthful	AJ0	youthful
ardour	NN1	ardour
had	VHD	have
chosen	VVN	choose|chosen
.	SENT	.
But	CJC	but
what	DTQ	what
was	VBD	be
he	PNP	he
to	TO0	to
do	VDI	do
?	SENT	?
He	PNP	he
was	VBD	be
a	AT0	a
young	AJ0	young
man	NN1	man
of	PRF	of
much	DT0	much
mental	AJ0	mental
activity	NN1	activity
,	PUN	,
and	CJC	and
,	PUN	,
above	PRP	above
all	DT0	all
,	PUN	,
gifted	AJ0	gifted|gift
with	PRP	with
a	AT0	a
spirit	NN1	spirit
of	PRF	of
contrivance	NN1	contrivance
;	PUN	;
but	CJC	but
then	AV0	then
,	PUN	,
his	DPS	he
faculties	NN2	faculty
would	VM0	would
not	XX0	not
tell	VVI	tell
with	PRP	with
great	AJ0	great
effect	NN1	effect
in	PRP	in
any	DT0	any
other	AJ0	other
medium	NN1	medium
than	CJS	than
that	DT0	that
of	PRF	of
candied	AJ0	candied|candy
sugars	NN2	sugar
,	PUN	,
conserves	VVZ	conserve
,	PUN	,
and	CJC	and
pastry	NN1	pastry
.	SENT	.
Say	VVB	say
what	DTQ	what
you	PNP	you
will	VM0	will
about	PRP	about
the	AT0	the
identity	NN1	identity
of	PRF	of
the	AT0	the
reasoning	NN1	reasoning|reason
process	NN1	process
in	PRP	in
all	DT0	all
branches	NN2	branch
of	PRF	of
thought	NN1	thought
,	PUN	,
or	CJC	or
about	PRP	about
the	AT0	the
advantage	NN1	advantage
of	PRF	of
coming	VVG	come|coming
to	PRP	to
subjects	NN2	subject
with	PRP	with
a	AT0	a
fresh	AJ0	fresh
mind	NN1	mind
,	PUN	,
the	AT0	the
adjustment	NN1	adjustment
of	PRF	of
butter	NN1	butter
to	PRP	to
flour	NN1	flour
,	PUN	,
and	CJC	and
of	PRF	of
heat	NN1	heat
to	PRP	to
pastry	NN1	pastry
,	PUN	,
is	VBZ	be
not	XX0	not
the	AT0	the
best	AJS	good
preparation	NN1	preparation
for	PRP	for
the	AT0	the
office	NN1	office
of	PRF	of
prime	AJ0	prime
minister	NN1	minister
;	PUN	;
besides	AV0	besides
,	PUN	,
in	PRP	in
the	AT0	the
present	AJ0	present
imperfectly-organized	AJ0	imperfectly-organized
state	NN1	state
of	PRF	of
society	NN1	society
,	PUN	,
there	EX0	there
are	VBB	be
social	AJ0	social
barriers	NN2	barrier
.	SENT	.
David	NP0	david
could	VM0	could
invent	VVI	invent
delightful	AJ0	delightful
things	NN2	thing
in	PRP	in
the	AT0	the
way	NN1	way
of	PRF	of
drop-cakes	NN2	drop-cakes
,	PUN	,
and	CJC	and
he	PNP	he
had	VHD	have
the	AT0	the
widest	AJS	wide
views	NN2	view
of	PRF	of
the	AT0	the
sugar	NN1	sugar
department	NN1	department
;	PUN	;
but	CJC	but
in	PRP	in
other	AJ0	other
directions	NN2	direction
he	PNP	he
certainly	AV0	certainly
felt	VVD	feel
hampered	VVN	hamper
by	PRP	by
the	AT0	the
want	NN1	want
of	PRF	of
knowledge	NN1	knowledge
and	CJC	and
practical	AJ0	practical
skill	NN1	skill
;	PUN	;
and	CJC	and
the	AT0	the
world	NN1	world
is	VBZ	be
so	AV0	so
inconveniently	AV0	inconveniently
constituted	VVN	constitute|constituted
,	PUN	,
that	CJT	that
the	AT0	the
vague	AJ0	vague
consciousness	NN1	consciousness
of	PRF	of
being	VBG	be
a	AT0	a
fine	AJ0	fine
fellow	NN1	fellow
is	VBZ	be
no	AT0	no
guarantee	NN1	guarantee
of	PRF	of
success	NN1	success
in	PRP	in
any	DT0	any
line	NN1	line
of	PRF	of
business	NN1	business
.	SENT	.
This	DT0	this
difficulty	NN1	difficulty
pressed	VVN	press|pressed
with	PRP	with
some	DT0	some
severity	NN1	severity
on	PRP	on
Mr	NP0	mr
David	NP0	david
Faux	NP0	Faux
,	PUN	,
even	AV0	even
before	PRP	before
his	DPS	he
apprenticeship	NN1	apprenticeship
was	VBD	be
ended	VVN	end
.	SENT	.
His	DPS	he
soul	NN1	soul
swelled	VVD	swell
with	PRP	with
an	AT0	an
impatient	AJ0	impatient
sense	NN1	sense
that	CJT	that
he	PNP	he
ought	VM0	ought
to	TO0	to
become	VVI	become
something	PNI	something
very	AV0	very
remarkable	AJ0	remarkable
that	CJT	that
it	PNP	it
was	VBD	be
quite	AV0	quite
out	AVP	out
of	PRF	of
the	AT0	the
question	NN1	question
for	PRP	for
him	PNP	he
to	TO0	to
put	VVI	put
up	AVP	up
with	PRP	with
a	AT0	a
narrow	AJ0	narrow
lot	NN1	lot
as	PRP	as
other	AJ0	other
men	NN2	man
did	VDD	do
:	PUN	:
he	PNP	he
scorned	VVD	scorn|scorned
the	AT0	the
idea	NN1	idea
that	CJT	that
he	PNP	he
could	VM0	could
accept	VVI	accept
an	AT0	an
average	NN1	average
.	SENT	.
He	PNP	he
was	VBD	be
sure	AJ0	sure
there	EX0	there
was	VBD	be
nothing	PNI	nothing
average	AJ0	average
about	PRP	about
him	PNP	he
:	PUN	:
even	AV0	even
such	DT0	such
a	AT0	a
person	NN1	person
as	PRP	as
Mrs	NP0	mrs
Tibbits	NP0	Tibbits
,	PUN	,
the	AT0	the
washer-woman	NN1	washer-woman
,	PUN	,
perceived	VVD	perceive
it	PNP	it
,	PUN	,
and	CJC	and
probably	AV0	probably
had	VHD	have
a	AT0	a
preference	NN1	preference
for	PRP	for
his	DPS	he
linen	NN1	linen
.	SENT	.
At	PRP	at
that	DT0	that
particular	AJ0	particular
period	NN1	period
he	PNP	he
was	VBD	be
weighing	VVG	weigh|weighing
out	AVP	out
gingerbread	NN1	gingerbread
nuts	NN2	nut
;	PUN	;
but	CJC	but
such	DT0	such
an	AT0	an
anomaly	NN1	anomaly
could	VM0	could
not	XX0	not
continue	VVI	continue
.	SENT	.
No	AT0	no
position	NN1	position
could	VM0	could
be	VBI	be
suited	VVN	suit|suited
to	PRP	to
Mr	NP0	mr
David	NP0	david
Faux	NP0	Faux
that	CJT	that
was	VBD	be
not	XX0	not
in	PRP	in
the	AT0	the
highest	AJS	high
degree	NN1	degree
easy	AJ0	easy
to	PRP	to
the	AT0	the
flesh	NN1	flesh
and	CJC	and
flattering	AJ0	flattering|flatter
to	PRP	to
the	AT0	the
spirit	NN1	spirit
.	SENT	.
If	CJS	if
he	PNP	he
had	VHD	have
fallen	VVN	fall|fallen
on	PRP	on
the	AT0	the
present	AJ0	present
times	NN2	time
,	PUN	,
and	CJC	and
enjoyed	VVD	enjoy
the	AT0	the
advantages	NN2	advantage
of	PRF	of
a	AT0	a
Mechanic	NN1	mechanic
's	POS	's
Institute	NN1	institute
,	PUN	,
he	PNP	he
would	VM0	would
certainly	AV0	certainly
have	VHI	have
taken	VVN	take|taken
to	PRP	to
literature	NN1	literature
and	CJC	and
have	VHB	have
written	VVN	write|written
reviews	NN2	review
;	PUN	;
but	CJC	but
his	DPS	he
education	NN1	education
had	VHD	have
not	XX0	not
been	VBN	be
liberal	AJ0	liberal
.	SENT	.
He	PNP	he
had	VHD	have
read	VVN	read
some	DT0	some
novels	NN2	novel
from	PRP	from
the	AT0	the
adjoining	AJ0	adjoining|adjoin
circulating	NN1	circulating|circulate
library	NN1	library
,	PUN	,
and	CJC	and
had	VHD	have
even	AV0	even
bought	VVN	buy
the	AT0	the
story	NN1	story
of	PRF	of
Inkle	NP0	Inkle
and	CJC	and
Yarico	NP0	Yarico
,	PUN	,
which	DTQ	which
had	VHD	have
made	VVN	make
him	PNP	he
feel	VVB	feel
very	AV0	very
sorry	AJ0	sorry
for	PRP	for
poor	AJ0	poor
Mr	NP0	mr
Inkle	NP0	Inkle
;	PUN	;
so	AV0	so
that	CJT	that
his	DPS	he
ideas	NN2	idea
might	VM0	might
not	XX0	not
have	VHI	have
been	VBN	be
below	PRP	below
a	AT0	a
certain	AJ0	certain
mark	NN1	mark
of	PRF	of
the	AT0	the
literary	AJ0	literary
calling	NN1	calling|call
;	PUN	;
but	CJC	but
his	DPS	he
spelling	NN1	spelling|spell
and	CJC	and
diction	NN1	diction
were	VBD	be
too	AV0	too
unconventional	AJ0	unconventional
.	SENT	.
When	CJS	when
a	AT0	a
man	NN1	man
is	VBZ	be
not	XX0	not
adequately	AV0	adequately
appreciated	VVN	appreciate
or	CJC	or
comfortably	AV0	comfortably
placed	VVN	place
in	PRP	in
his	DPS	he
own	DT0	own
country	NN1	country
,	PUN	,
his	DPS	he
thoughts	NN2	thought
naturally	AV0	naturally
turn	VVB	turn
towards	PRP	towards
foreign	AJ0	foreign
climes	NN2	clime
;	PUN	;
and	CJC	and
David	NP0	david
's	POS	's
imagination	NN1	imagination
circled	VVD	circle
round	AVP	round
and	CJC	and
round	AVP	round
the	AT0	the
utmost	AJ0	utmost
limits	NN2	limit
of	PRF	of
his	DPS	he
geographical	AJ0	geographical
knowledge	NN1	knowledge
,	PUN	,
in	PRP	in
search	NN1	search
of	PRF	of
a	AT0	a
country	NN1	country
where	AVQ	where
a	AT0	a
young	AJ0	young
gentleman	NN1	gentleman
of	PRF	of
pasty	AJ0	pasty
visage	NN1	visage
,	PUN	,
lipless	AJ0	lipless
mouth	NN1	mouth
,	PUN	,
and	CJC	and
stumpy	AJ0	stumpy
hair	NN1	hair
,	PUN	,
would	VM0	would
be	VBI	be
likely	AJ0	likely
to	TO0	to
be	VBI	be
received	VVN	receive|received
with	PRP	with
the	AT0	the
hospitable	AJ0	hospitable
enthusiasm	NN1	enthusiasm
which	DTQ	which
he	PNP	he
had	VHD	have
a	AT0	a
right	NN1	right
to	TO0	to
expect	VVI	expect
.	SENT	.
Having	VHG	have
a	AT0	a
general	AJ0	general
idea	NN1	idea
of	PRF	of
America	NP0	america
as	PRP	as
a	AT0	a
country	NN1	country
where	AVQ	where
the	AT0	the
population	NN1	population
was	VBD	be
chiefly	AV0	chiefly
black	AJ0	black
,	PUN	,
it	PNP	it
appeared	VVD	appear
to	PRP	to
him	PNP	he
the	AT0	the
most	AV0	most
propitious	AJ0	propitious
destination	NN1	destination
for	PRP	for
an	AT0	an
emigrant	NN1	emigrant
who	PNQ	who
,	PUN	,
to	TO0	to
begin	VVI	begin
with	PRP	with
,	PUN	,
had	VHD	have
the	AT0	the
broad	AJ0	broad
and	CJC	and
easily	AV0	easily
recognizable	AJ0	recognizable
merit	NN1	merit
of	PRF	of
whiteness	NN1	whiteness
;	PUN	;
and	CJC	and
this	DT0	this
idea	NN1	idea
gradually	AV0	gradually
took	VVD	take
such	DT0	such
strong	AJ0	strong
possession	NN1	possession
of	PRF	of
him	PNP	he
that	CJT	that
Satan	NP0	satan
seized	VVD	seize
the	AT0	the
opportunity	NN1	opportunity
of	PRF	of
suggesting	VVG	suggest
to	PRP	to
him	PNP	he
that	CJT	that
he	PNP	he
might	VM0	might
emigrate	VVI	emigrate
under	PRP	under
easier	AJC	easy
circumstances	NN2	circumstance
,	PUN	,
if	CJS	if
he	PNP	he
supplied	VVD	supply
himself	PNX	himself
with	PRP	with
a	AT0	a
little	AJ0	little
money	NN1	money
from	PRP	from
his	DPS	he
master	NN1	master
's	POS	's
till	NN1	till
.	SENT	.
But	CJC	but
that	DT0	that
evil	AJ0	evil
spirit	NN1	spirit
,	PUN	,
whose	DTQ	whose
understanding	NN1	understanding|understand
,	PUN	,
I	PNP	i
am	VBB	be
convinced	AJ0	convinced|convince
,	PUN	,
has	VHZ	have
been	VBN	be
much	AV0	much
overrated	VVN	overrated|overrate
,	PUN	,
quite	AV0	quite
wasted	VVN	waste|wasted
his	DPS	he
time	NN1	time
on	PRP	on
this	DT0	this
occasion	NN1	occasion
.	SENT	.
David	NP0	david
would	VM0	would
certainly	AV0	certainly
have	VHI	have
liked	VVN	like
well	AV0	well
to	TO0	to
have	VHI	have
some	DT0	some
of	PRF	of
his	DPS	he
master	NN1	master
's	POS	's
money	NN1	money
in	PRP	in
his	DPS	he
pocket	NN1	pocket
,	PUN	,
if	CJS	if
he	PNP	he
had	VHD	have
been	VBN	be
sure	AJ0	sure
his	DPS	he
master	NN1	master
would	VM0	would
have	VHI	have
been	VBN	be
the	AT0	the
only	AJ0	only
man	NN1	man
to	TO0	to
suffer	VVI	suffer
for	PRP	for
it	PNP	it
;	PUN	;
but	CJC	but
he	PNP	he
was	VBD	be
a	AT0	a
cautious	AJ0	cautious
youth	NN1	youth
,	PUN	,
and	CJC	and
quite	AV0	quite
determined	VVN	determine|determined
to	TO0	to
run	VVI	run
no	AT0	no
risks	NN2	risk
on	PRP	on
his	DPS	he
own	DT0	own
account	NN1	account
.	SENT	.
So	AV0	so
he	PNP	he
stayed	VVD	stay
out	AVP	out
his	DPS	he
apprenticeship	NN1	apprenticeship
,	PUN	,
and	CJC	and
committed	VVD	commit|committed
no	AT0	no
act	NN1	act
of	PRF	of
dishonesty	NN1	dishonesty
that	CJT	that
was	VBD	be
at	PRP	at
all	DT0	all
likely	AJ0	likely
to	TO0	to
be	VBI	be
discovered	VVN	discover
,	PUN	,
reserving	VVG	reserve|reserving
his	DPS	he
plan	NN1	plan
of	PRF	of
emigration	NN1	emigration
for	PRP	for
a	AT0	a
future	AJ0	future
opportunity	NN1	opportunity
.	SENT	.
And	CJC	and
the	AT0	the
circumstances	NN2	circumstance
under	PRP	under
which	DTQ	which
he	PNP	he
carried	VVD	carry
it	PNP	it
out	AVP	out
were	VBD	be
in	PRP	in
this	DT0	this
wise	AJ0	wise
.	SENT	.
Having	VHG	have
been	VBN	be
at	PRP	at
home	AV0	home
a	AT0	a
week	NN1	week
or	CJC	or
two	CRD	two
partaking	NN1	partaking
of	PRF	of
the	AT0	the
family	NN1	family
beans	NN2	bean
,	PUN	,
he	PNP	he
had	VHD	have
used	VVN	use|used
his	DPS	he
leisure	NN1	leisure
in	PRP	in
ascertaining	VVG	ascertain
a	AT0	a
fact	NN1	fact
which	DTQ	which
was	VBD	be
of	PRF	of
considerable	AJ0	considerable
importance	NN1	importance
to	PRP	to
him	PNP	he
,	PUN	,
namely	AV0	namely
,	PUN	,
that	CJT	that
his	DPS	he
mother	NN1	mother
had	VHD	have
a	AT0	a
small	AJ0	small
sum	NN1	sum
in	PRP	in
guineas	NN2	guinea
painfully	AV0	painfully
saved	VVN	save|saved
from	PRP	from
her	DPS	she
maiden	AJ0	maiden
perquisites	NN2	perquisite
,	PUN	,
and	CJC	and
kept	VVD	keep
in	PRP	in
the	AT0	the
corner	NN1	corner
of	PRF	of
a	AT0	a
drawer	NN1	drawer
where	AVQ	where
her	DPS	she
baby-linen	NN1	baby-linen
had	VHD	have
reposed	VVN	repose
for	PRP	for
the	AT0	the
last	ORD	last
twenty	CRD	twenty
years	NN2	year
ever	AV0	ever
since	CJS	since
her	DPS	she
son	NN1	son
David	NP0	david
had	VHD	have
taken	VVN	take|taken
to	PRP	to
his	DPS	he
feet	NN2	foot
,	PUN	,
with	PRP	with
a	AT0	a
slight	AJ0	slight
promise	NN1	promise
of	PRF	of
bow-legs	NN2	bow-legs
which	DTQ	which
had	VHD	have
not	XX0	not
been	VBN	be
altogether	AV0	altogether
unfulfilled	AJ0	unfulfilled
.	SENT	.
Mr	NP0	mr
Faux	NP0	Faux
,	PUN	,
senior	AJ0	senior
,	PUN	,
had	VHD	have
told	VVN	tell
his	DPS	he
son	NN1	son
very	AV0	very
frankly	AV0	frankly
,	PUN	,
that	CJT	that
he	PNP	he
must	VM0	must
not	XX0	not
look	VVI	look
to	PRP	to
being	VBG	be
set	VVN	set
up	AVP	up
in	PRP	in
business	NN1	business
by	PRP	by
him	PNP	he
:	PUN	:
with	PRP	with
seven	CRD	seven
sons	NN2	son
,	PUN	,
and	CJC	and
one	CRD	one
of	PRF	of
them	PNP	they
a	AT0	a
very	AV0	very
healthy	AJ0	healthy
and	CJC	and
well-developed	AJ0	well-developed
idiot	NN1	idiot
,	PUN	,
who	PNQ	who
consumed	VVD	consume
a	AT0	a
dumpling	NN1	dumpling
about	PRP	about
eight	CRD	eight
inches	NN2	inch
in	PRP	in
diameter	NN1	diameter
every	AT0	every
day	NN1	day
,	PUN	,
it	PNP	it
was	VBD	be
pretty	AV0	pretty
well	AV0	well
if	CJS	if
they	PNP	they
got	VVD	get
a	AT0	a
hundred	CRD	hundred
apiece	AV0	apiece
at	PRP	at
his	DPS	he
death	NN1	death
.	SENT	.
Under	PRP	under
these	DT0	these
circumstances	NN2	circumstance
,	PUN	,
what	DTQ	what
was	VBD	be
David	NP0	david
to	TO0	to
do	VDI	do
?	SENT	?
It	PNP	it
was	VBD	be
certainly	AV0	certainly
hard	AJ0	hard
that	CJT	that
he	PNP	he
should	VM0	should
take	VVI	take
his	DPS	he
mother	NN1	mother
's	POS	's
money	NN1	money
;	PUN	;
but	CJC	but
he	PNP	he
saw	VVD	see
no	AT0	no
other	AJ0	other
ready	AJ0	ready
means	NN0	means
of	PRF	of
getting	VVG	get
any	DT0	any
,	PUN	,
and	CJC	and
it	PNP	it
was	VBD	be
not	XX0	not
to	TO0	to
be	VBI	be
expected	VVN	expect|expected
that	CJT	that
a	AT0	a
young	AJ0	young
man	NN1	man
of	PRF	of
his	DPS	he
merit	NN1	merit
should	VM0	should
put	VVI	put
up	AVP	up
with	PRP	with
inconveniences	NN2	inconvenience
that	CJT	that
could	VM0	could
be	VBI	be
avoided	VVN	avoid
.	SENT	.
Besides	AV0	besides
,	PUN	,
it	PNP	it
is	VBZ	be
not	XX0	not
robbery	NN1	robbery
to	TO0	to
take	VVI	take
property	NN1	property
belonging	VVG	belong|belonging
to	PRP	to
your	DPS	you
mother	NN1	mother
:	PUN	:
she	PNP	she
does	VDZ	do
n't	XX0	not
prosecute	VVI	prosecute
you	PNP	you
.	SENT	.
And	CJC	and
David	NP0	david
was	VBD	be
very	AV0	very
well	AV0	well
behaved	VVN	behave
to	PRP	to
his	DPS	he
mother	NN1	mother
;	PUN	;
he	PNP	he
comforted	VVD	comfort
her	PNP	she
by	PRP	by
speaking	VVG	speak|speaking
highly	AV0	highly
of	PRF	of
himself	PNX	himself
to	PRP	to
her	PNP	she
,	PUN	,
and	CJC	and
assuring	VVG	assure
her	PNP	she
that	CJT	that
he	PNP	he
never	AV0	never
fell	VVD	fall|fell
into	PRP	into
the	AT0	the
vices	NN2	vice
he	PNP	he
saw	VVD	see
practised	VVN	practise|practised
by	PRP	by
other	AJ0	other
youths	NN2	youth
of	PRF	of
his	DPS	he
own	DT0	own
age	NN1	age
,	PUN	,
and	CJC	and
that	CJT	that
he	PNP	he
was	VBD	be
particularly	AV0	particularly
fond	AJ0	fond
of	PRF	of
honesty	NN1	honesty
.	SENT	.
If	CJS	if
his	DPS	he
mother	NN1	mother
would	VM0	would
have	VHI	have
given	VVN	give|given
him	PNP	he
her	DPS	she
twenty	CRD	twenty
guineas	NN2	guinea
as	PRP	as
a	AT0	a
reward	NN1	reward
of	PRF	of
this	DT0	this
noble	AJ0	noble
disposition	NN1	disposition
,	PUN	,
he	PNP	he
really	AV0	really
would	VM0	would
not	XX0	not
have	VHI	have
stolen	VVN	steal|stolen
them	PNP	they
from	PRP	from
her	PNP	she
,	PUN	,
